,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
10,Garhwali/Dinesh Uniyal - Katha Laanu Mankhi Ki.opus,1.3322487942941077,0.2661949789382818,0.41061686178050416,0.23281371844585624,1.6237973965604742,-8.13937066202424,1505.3357255600338,2080.2147892925755,21.24402752045511,2705.6307207928503,-0.012427825128186938,0.03131729412246013
11,Garhwali/Preetam Bhartwan - Mohna Teri Murli Baji.opus,1.422409362781262,0.3092651099542397,0.4698506779802381,0.2498671274323188,0.6124843060494702,-10.3005084098014,3058.9042665584707,3449.125174032171,21.835445854013816,6319.350456697113,0.00015785624357363536,0.06795086252277929
12,Garhwali/Narendra Singh Negi - Mor Moriki Maand Pelya.opus,1.234753611403986,0.3368469776944196,0.47886872603383207,0.2498759217724193,0.8279309696306915,-5.858362949862164,2076.5047255597,2653.4513683567916,21.674041227162736,4243.226758635971,0.011009747675202389,0.04456242495178948
13,Garhwali/Dinesh Uniyal - Hey Dida Bou Na Maari.opus,1.565430081960416,0.31051663103798505,0.4998827247965257,0.2596301130207109,1.4286740307639598,-6.3751731776020115,1761.9237280270747,2389.74923080329,20.426369292432113,3132.893685845317,0.013071945620709142,0.03822306267547258
14,Garhwali/Himanshu Rawat Music - Sajeelo Garhwal.opus,1.488898803269579,0.4123950148646792,0.5392939797281059,0.255890845952145,4.068875553090224,-4.402471022656066,4699.430993463704,4431.3522992226235,20.175892934694375,9508.909416884602,0.006090251643558413,0.10539801120498256
15,Garhwali/Anil - Kan Full Khilana.opus,1.4287042758346307,0.36007079514412216,0.47646764572431793,0.2482175413105028,0.7094314922391181,-8.686916904454609,2632.0350641760756,2893.144365379534,20.638955389704314,5317.26377170876,0.003489375127777206,0.057508026648587444
16,Garhwali/Preetam Bhartwan - Saruli Meru Jiya Lagige.opus,1.506193880442647,0.2781023902727126,0.4653466240110536,0.2504899664636946,0.8529356640201556,-6.7327458954126715,2629.679548751039,3051.9633390179893,21.977884551550325,5198.937967222541,0.008296117324283465,0.057297263603364006
17,Garhwali/Narendra Singh Negi - Ghuguti Ghuron Laigi.opus,1.465339792989871,0.28216815145004154,0.4373642636032739,0.2418780399049858,3.5903567189849706,-4.5418940347023415,2941.7045597658353,3546.4404558137385,22.208246973141684,6589.9244483169605,0.005958443993440547,0.05155276893983856
18,Garhwali/Narender Singh Negi - Kajrani Aakhi Teri.opus,1.4066403198794146,0.3234034400958802,0.476748223576204,0.25081206448565807,4.253426011688745,-3.3565327607352597,1338.4960611871284,1571.277841901149,21.063842773409228,2406.803908311883,-0.008830609260072078,0.03523191601365221
19,Garhwali/Narender Singh Negi - Pahada Unchi Dandi.opus,1.5702165530718617,0.3907577704096559,0.5596132846670114,0.2673530872798725,2.7616279396767403,-0.4825256585047625,3603.6305523925525,3723.7248158022753,20.331020206469457,7260.288845357776,-0.004039723220103267,0.08875161968197016
20,Garhwali/Gajendra Rana - Pushpa Chori.opus,1.4801821126747567,0.35967816476390724,0.5094695696171011,0.25975143583181615,0.7699161107845132,-5.48020509235664,1965.9973756315203,2585.0428567263193,21.275598213421006,3910.402794292509,0.010655877190505186,0.04017957834794887
21,Garhwali/Narender Singh Negi - Bavada Re Bavada Re.opus,1.4651463482163454,0.3434363261744341,0.49891615841535336,0.2586792100537736,11.116379889468934,2.2250839044157957,2135.990867547163,2407.0678654552657,21.06997484641334,4122.473224695441,-0.0011321790942606172,0.05099934307188065
22,Garhwali/Narendra Singh Negi - Titri Fase.opus,1.5208963511000688,0.31981166374172976,0.5163988489693396,0.26172411521287847,0.8743108708172544,-6.08276718083268,2376.1846311350746,2869.142088530954,20.62844588915704,4608.488826163241,-0.011665249490788445,0.0530783503708472
23,Garhwali/Himanshu Rawat Music - Mela Ki Chori.opus,1.4602181655866169,0.46869559439306346,0.5277975962544773,0.25946766004819305,10.08713236772232,0.9599468020988606,3279.1347103310013,3476.7625420962986,20.70125017600336,6942.3723245348665,-0.010934712554536525,0.06594997427740382
24,Garhwali/Narender Singh Negi - Hai Teri Rumaala.opus,1.4066403198794146,0.3234034400958802,0.476748223576204,0.25081206448565807,4.253426011688745,-3.3565327607352597,1338.4960611871284,1571.277841901149,21.063842773409228,2406.803908311883,-0.008830609260072078,0.03523191601365221
25,Garhwali/Narender Singh Negi - Baaji Jailu.opus,1.5741790687781354,0.38147554273333495,0.5086621773659447,0.25861808240826056,0.26489469606622057,-8.547756102165296,1884.1824037518475,2421.518066640873,20.08585291091977,3430.1997597797085,0.0023322576350965464,0.040232322773793246
26,Garhwali/Preetam Bhartwan - Runjhun Barkha Lagi Chaumasi.opus,1.3726285236636435,0.2881847156309434,0.46647335603421325,0.2511730739762458,3.490630667478267,-5.824090981812494,1942.7039899817191,2256.5460936980494,22.18154711519051,3441.2656943250713,-0.00341062720004747,0.0476632210714825
27,Garhwali/Jaspal Rana - Phoolon Ka Beech Mein Phyoli.opus,1.6173238492159498,0.3642238296450686,0.5015483718450107,0.26141905123110354,11.913988534305469,1.9518584599805486,2640.6988653439485,2878.9389953643476,21.74601109178155,4923.071579589518,0.011808295200364442,0.06044926009841445
28,Garhwali/Narendra Singh Negi - Ghar Bati Chitthi Aegyayee.opus,1.3770195312599924,0.3176028710269458,0.5109793578749944,0.25965456885803423,5.2937235997435454,-4.417835361716027,1542.7124213309125,1364.7193808255813,20.420225224166614,2727.515198251078,-0.01059985155263574,0.048654144097014254
29,Garhwali/Dinesh Uniyal - Holu Ta Kya Holu.opus,1.4382418459597777,0.3576932168263629,0.5295741659994985,0.25982300738252245,5.892727133838688,1.468136982656139,2999.8200473957,3396.4917826973833,21.433999497198656,6605.720920369878,0.003448171297575624,0.06059540428336216
30,Garhwali/Preetam Bhartwan - Gajiya.opus,1.4453545563478285,0.3592199472884333,0.4741135506079472,0.24945005945594323,9.877187053348868,0.44431256980147144,3278.7108941118395,3418.88200429593,21.3537742765946,6793.554232350925,-0.011160364051055464,0.06595368456562714
31,Garhwali/Himanshu Rawat Music - Gaon Ku Baatu.opus,1.4656458979105664,0.37383865768265956,0.509115099620013,0.2613672439601238,15.164976954319433,2.640005229236507,2590.8347049616223,3104.501917824739,21.042316996286814,5706.004363816006,-0.002729591233554239,0.050000632530327146
32,Garhwali/Narendra Singh Negi - Thando Re Thando.opus,1.4181580129316456,0.4201150101347196,0.45889187408242244,0.23787049927482884,22.10668119580357,5.813392519109817,3330.8883132947076,3697.5785184791325,19.997827821851917,7299.343105631556,-0.01636972111489538,0.06958304796868145
33,Garhwali/Narender Singh Negi - Maini Janya Naipal.opus,1.5236612481851195,0.383036291306023,0.5233139533498324,0.2633154326885409,19.476947086462285,1.1896026862292521,3309.270189610752,3447.9871345564507,20.37774700929151,6859.320407118585,-0.0009563810029242036,0.06936696933268711
34,Garhwali/Narendra Singh Negi - Tumari Maya Maa.opus,1.495373737587399,0.3102699613632055,0.48296621600311157,0.25429871685079053,8.924912009870356,-0.708079573476372,1753.1056767940559,2242.807493203745,22.059923516442232,3458.436132446191,0.008403887226800865,0.03831890715239945
35,Garhwali/Narender Singh Negi - Maish Bheji Ki Lai Ni.opus,1.4462278935148725,0.3442648102974626,0.5011268795419191,0.2532537499177398,9.170693296617857,2.4488518631209404,2335.80328268387,3056.9029519941105,21.38096130832096,4713.938745959052,0.005761140789646215,0.045998935041756464
36,Garhwali/Anil - Bikhoti Ka Mela.opus,1.37619086412482,0.3559346869432953,0.5421643300552459,0.26216932083429456,33.409646494600736,7.414731512169795,2809.473627783312,3592.6307212964603,18.101380725726155,5879.01079445973,0.008963003451141522,0.0533716565313907
37,Garhwali/Anil - Jawa Pardesh.opus,1.4449125431919574,0.44396809652004693,0.5401698419375611,0.25374190516758055,0.9181963072334135,-4.642032924124715,2985.2572655323843,3317.81751856989,20.69937963759208,6353.044851514384,0.0028844553067087736,0.06425578846512135
38,Garhwali/Narender Singh Negi - Gvirala Foole Foolege.opus,1.1275043913604923,0.3397864708875241,0.42812352788410485,0.22539501088122377,6.816831568532219,-9.720825962856404,2762.8336679038375,3231.976389476956,20.417500924823308,5787.542507303268,-0.016625156440902313,0.05656174399762644
39,Garhwali/Himanshu Rawat Music - Bhola Naachigey.opus,1.4882800171389885,0.44734571270182577,0.6131152888659887,0.2709622327971251,8.657136982682529,1.3640183418861702,3651.832940589924,4055.4714739301435,21.369224074329626,7647.558790075124,0.0016727076173062617,0.07331500001102176
40,Garhwali/Anil - Latuli Teri Mukhdi.opus,1.5684476791389348,0.36302674217872344,0.4997591570393532,0.25820328789744934,4.036574502577432,-2.860029579065922,4273.280256870782,3367.493949399882,22.045959534088038,8121.993457562264,-0.00887120566084611,0.1219231037174976
41,Garhwali/Anil - Chakdait Chhora.opus,1.4935487542517178,0.43339981968225744,0.5405177611294733,0.25901880541626426,21.89266348790709,5.393352176530063,2639.3889202148016,3341.3470348303563,20.182257617187695,5368.543199971753,0.001720700295371913,0.057346948608452075
