Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
Jagjit Singh - Tum Ko Dekha To Yeh Khayal Aaya - From Saath Saath.mp3,1.1771226,0.32744065,0.32619438,0.2063376931,3.5768378,-4.0587826,1277.76116,1517.607194,21.66067262,2411.887486,-0.00491522308,0.02975592654
Jagjit Singh - Tumko Dekha To.mp3,1.2364452,0.30791914,0.32870045,0.2068396852,2.6547039,-5.252742,1502.821042,1970.474474,21.22714703,2886.420122,-0.005013386039,0.03092628317
Jagjit Singh - Us Mod Se Shuroo Karen.mp3,1.3117397,0.29003045,0.38130113,0.2246215093,4.400575,-2.9812677,1549.873438,2177.622827,21.2821855,2964.936197,0.02776502581,0.02974541385
Jagjit Singh - Woh Dil Hi Kya Tere Milne Ki Dua Na (From Immortal).mp3,1.3144064,0.34770876,0.39288533,0.2231145648,9.784861,-1.9173249,1419.419555,2092.793654,21.57737424,2703.619542,0.007869429805,0.02732233564
Jagjit Singh - Zindagi Kya Hai (From Koi Baat Chale).mp3,1.3480484,0.4253053,0.41738418,0.2313061338,11.08169,2.0091848,2158.040419,2997.958985,21.20883715,4890.032509,0.04146847023,0.03516023084
Jagjit Singh - Zindagi Kya Hai.mp3,1.063669,0.42603937,0.41813314,0.2317115852,12.152072,1.7504567,835.0186913,1010.11588,20.39230088,1730.464222,0.04032888089,0.01982394634
Javed Hussain - Dil Ki Chalegi.mp3,1.3168328,0.37523487,0.4082206,0.2306187122,2.5966294,-0.63113797,2336.598894,3155.001246,21.13025918,5439.286082,-0.0421132127,0.03907956083
Kavita Krishnamurthy - Koi Chaahat Koi Hasrat.mp3,1.4601556,0.31833997,0.4118487,0.2388826488,11.772669,-0.01986268,2522.17483,2869.396744,21.79363076,5096.458085,0.0002813447883,0.04847573275
Kavita Krishnamurthy - Woh Mere Aas Paas Tha.mp3,1.4062045,0.3237012,0.40081534,0.237178533,10.995203,1.1186476,2440.523768,2726.285096,22.02474993,5041.244124,0.002282754554,0.05270164315
Kirti Anuraag - Meri Ajab Hai Zindagi.mp3,1.3377995,0.35720056,0.37433666,0.2229707326,5.5186214,-0.22083977,2590.79887,3066.494374,22.14474152,5573.42144,0.0568996534,0.05312613315
