,Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
16,bhojpuri/Ramu Raja - Rowa Tate Kangna.opus,1.765170860939255,0.36822327794538584,0.604764756612519,0.275595892299313,13.799120022281095,-0.28624660580934175,3432.4980487593816,3262.9375570540183,20.729039742753777,6538.558482271548,-0.0002720953378250881,0.0828725744991352
17,bhojpuri/Khesari Lal Yadav - Laga Ke Fair Lovely.opus,1.4823087883858137,0.3826508205091977,0.5694564611864733,0.2578497845214282,9.742036978744006,3.3986094185106954,3104.4523796212316,3541.3726454965185,19.61930229503165,6720.351652926126,-0.0021282011343456693,0.05706715472449539
18,bhojpuri/Ravi Diuwakar - Bhtar Jab Chhatiya Dabawe.opus,1.5183867012179135,0.4050980408328681,0.5755898173525342,0.27100150101691367,3.086819601366701,1.2181121256415544,3925.014377080271,4084.7882009027394,20.955161739427897,8550.339734424078,-0.00654900071456248,0.08419565604343444
19,bhojpuri/Rahul Singh - Akhilesh Bhaiya.opus,1.5095644961828565,0.3784576786401229,0.5792920066576661,0.27054641803346774,25.439961179054453,5.9696704581761555,2475.002662654606,2867.481826910241,18.990595654926505,4790.500423300856,-0.0003634389264335276,0.05524842004812262
20,bhojpuri/Pawan Singh - Sorry Sorry.opus,1.508366436118723,0.39960795111152586,0.5108601980815102,0.2553754350534904,13.0647475885525,2.59782732936939,3312.5643624107215,3803.8342444664327,19.95879958029485,7278.795770763647,0.002155139954701398,0.06204681689692904
21,bhojpuri/Pawan Singh - Saniya Mirza Cut Nathuniya.opus,1.6814559562328752,0.43194700415104176,0.5568284570503477,0.259083276846092,3.453912751842332,0.349071430967605,3339.6589805288336,3587.6332349778854,19.817543383700208,7067.707715617439,0.0018281796102098233,0.06941905117356137
22,bhojpuri/Tinku Tufan - Saiya Kariya Milal Na.opus,1.6650581224229657,0.30587991598004294,0.6144147766431124,0.27607861612173773,12.942230755228191,3.462465103482788,4240.44415243297,4473.095515829628,20.653365262669904,9245.212619220321,-0.0016629656097402485,0.0872136204395333
23,bhojpuri/Samresh Sagar - Babu Fasali.opus,1.5996053205465768,0.44431808696633457,0.5769284643836772,0.2676557905664686,30.02066738820334,3.2384252321737654,2990.619194829741,3085.066182711143,18.63926363330639,6134.179396165958,0.001687031823076341,0.06610388302959781
24,bhojpuri/Ashok Sonkar - Yadav Ji Se Pahile.opus,1.397849962685283,0.3496329124413781,0.5182242534165443,0.2614807611851967,14.115046361788739,2.3968198808892667,3807.743805103492,3633.8487994790294,21.432308924804023,7595.758689242316,-0.01044557589618718,0.09877289232822552
25,bhojpuri/Sanjit Sharma - Sonwa Re Sonwa.opus,1.5412523376250746,0.3713650528348546,0.5300431314485416,0.26475683382604437,18.839367152331114,3.776294854479634,3703.6063196232194,4035.086620523191,20.16454712531736,7912.16499355314,6.037592092772566e-05,0.06984389750069074
