Song_Name,onset_strength,chroma_stft,chroma_cqt,chroma_cens,melspectrogram,mfcc,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,tonnetz,zero_crossing_rate
Garry Sandhu - Driver.mp3,1.7350574,0.4332974,0.5775849,0.2678084685,15.4003,3.5743103,3239.776477,3370.111647,19.83560486,6795.043567,0.01080218534,0.06875808798
Garry Sandhu - Ego.mp3,1.4973373,0.37206924,0.49868837,0.2514184267,13.388233,-0.82214,3007.516312,3034.693443,20.18500424,6125.088212,0.007585747625,0.06961330926
Garry Sandhu - Gidde Vich.mp3,1.6252095,0.42771226,0.47737935,0.2524522135,6.1029115,0.024932602,3116.018946,3278.185994,21.14062663,6829.036032,-0.01346727174,0.06355529131
Garry Sandhu - Illegal Daru.mp3,1.5886103,0.48042458,0.54903704,0.2583651961,11.02396,1.7749615,3477.742989,3342.086231,19.78132813,7216.725646,-0.01249070371,0.077209591
Garry Sandhu - Illegal Weapon.mp3,1.6624213,0.38252267,0.42481315,0.2406228756,12.906654,-2.771734,2955.326696,3166.894834,21.8438193,6259.533325,-0.01895905554,0.05387413012
Gurinder Seagal - Mummy Kasam.mp3,1.477448,0.45612788,0.5018446,0.2530164194,10.028722,4.194004,3240.35879,3610.361038,19.51357334,7316.006987,0.002000197813,0.06512452172
Guru Randhawa - Daaru Wargi (From Cheat India).mp3,1.6036376,0.48214978,0.55587214,0.257999342,16.065046,4.022257,2648.10424,3182.580029,19.50191743,5833.455234,-0.0116145605,0.04753992248
Guru Randhawa - High Rated Gabru (From Nawabzaade).mp3,1.5457833,0.39706513,0.4821294,0.2501975123,22.227074,4.577155,2794.537759,3098.722377,19.43764644,6093.999963,0.01209058904,0.05641462996
Guru Randhawa - High Rated Gabru.mp3,1.5671732,0.3637276,0.4748278,0.24339801,15.087989,0.58181655,2813.937737,3120.509459,20.68824734,5985.950366,0.02283670607,0.05575184878
Guru Randhawa - Lahore - Remix(Remix By Dj Shadow Dubai).mp3,1.5649247,0.49591357,0.49031615,0.2516010848,16.298252,1.9385067,3461.773305,3473.119906,19.0157238,7290.854347,-0.008338259854,0.08025966818
Guru Randhawa - Made In India.mp3,1.6235166,0.48029378,0.41554937,0.2443792833,6.430609,2.1716614,2876.60843,3027.143647,20.46235797,6219.298246,0.008799086446,0.06251799423
Guru Randhawa - Patola (From Blackmail).mp3,1.5243926,0.38852316,0.50633204,0.2609374682,19.733074,2.6364043,3001.243974,3239.453947,19.33036992,6535.29067,-0.0167627145,0.06366508678
Harrdy Sandhu - Kya Baat Ay.mp3,1.5319283,0.41823432,0.41914818,0.2347823538,3.8387485,-1.6940824,2309.774632,2893.625242,21.52723247,5167.697254,-0.01140067998,0.04176220897
Harrdy Sandhu - Naah.mp3,1.4625267,0.38545808,0.4285794,0.2387193203,12.238922,1.4581171,3078.672558,3322.515941,19.95622541,6654.846174,0.007670478708,0.06806167035
Imran Khan - Knightridah.mp3,1.6225152,0.39653045,0.33622038,0.2255284645,14.93215,-2.44941,3406.140513,3468.394106,21.55288563,7061.979667,0.07978715103,0.06681946839
Mamta Sharma - Rajj Rajj Ankhiyan Roiyan.mp3,1.4513016,0.39437246,0.33495244,0.2062328629,16.44111,1.0031922,2572.817473,3242.420596,22.17894998,5531.375171,0.01849491403,0.04192654769
Mika Singh - Lagi Hawa Dil Ko.mp3,1.3661653,0.36917216,0.43685398,0.2283995679,12.1170225,-0.11002116,2865.498543,3387.315368,20.89429523,6541.925624,-0.02704356979,0.05559531011
Nindy Kaur - BBM.mp3,1.5291021,0.5286724,0.5648124,0.2613453098,10.6274805,3.318418,3760.723629,3797.321562,19.306454,8120.621241,-0.01213245987,0.08364834679
RDB - We Doin It BIG.mp3,1.3312253,0.40481892,0.42010814,0.2190320998,11.5455885,-3.0840569,3020.71175,2951.768385,18.24277825,6098.953766,-0.01811841494,0.07171237876
Raftaar - All Black.mp3,1.5377878,0.48359284,0.38394624,0.2252912812,14.983632,0.42032468,2570.911939,3120.409425,21.03121432,5717.026383,-0.02444094667,0.04285408628
Raftaar - Swag Mera Desi.mp3,1.6682245,0.51975393,0.47574657,0.2344282105,8.678655,2.8043015,3581.05302,3487.570579,20.53606926,7577.404715,-0.006755850136,0.07486899089
Raftaar - Toh Dishoom.mp3,1.5411022,0.48713776,0.42008147,0.2344432292,14.510762,3.8502681,2780.514232,3316.109818,19.69161025,6092.06228,-0.003403339753,0.04920988335
Roach Killer - Desi Hip Hop - Spoken Word.mp3,1.7350404,0.5053545,0.47543338,0.2527904391,2.3456717,-1.9027239,3514.032647,3436.608346,20.29150346,7193.77034,0.03168042516,0.07377220695
Sidhu Moose Wala - Badfella.mp3,1.4731647,0.4111997,0.5175529,0.254994637,14.95012,2.1795588,2691.058905,2755.235076,19.27282572,5557.322426,-0.002003310477,0.06030504596
Sidhu Moose Wala - Boss.mp3,1.5488324,0.45392075,0.35894936,0.2179355162,12.800977,1.3415672,2922.028893,3279.216115,20.35020634,6115.959397,-0.06502376671,0.05549858971
Sidhu Moose Wala - Dawood.mp3,1.5291446,0.38851368,0.45941174,0.2451357901,16.400215,3.7149491,2838.656799,2906.257933,19.64866477,5879.734646,-0.006608810507,0.06544562033
Sidhu Moose Wala - Death Route.mp3,1.5276641,0.46175265,0.43939814,0.2349946196,9.688549,-0.4914189,2924.037005,3028.644932,21.073292,6078.586834,0.03607658872,0.06453315743
Sidhu Moose Wala - Devil - Skit.mp3,1.4690304,0.42525208,0.49503732,0.2434362914,11.879987,0.88074934,2367.918928,2648.585584,20.25972473,4840.913314,-0.01488648016,0.05022726481
Sidhu Moose Wala - Devil.mp3,1.4690304,0.42525208,0.49503732,0.2434362914,11.879987,0.88074934,2367.918928,2648.585584,20.25972473,4840.913314,-0.01488648016,0.05022726481
Sidhu Moose Wala - Dollar - Remix.mp3,1.4568393,0.35085192,0.42110905,0.2444357112,12.894939,-0.997012,3198.744288,3284.239936,20.44082375,6730.24466,0.02576592989,0.0674012582
Sidhu Moose Wala - Im Better Now - Skit.mp3,1.3887148,0.39722347,0.37890473,0.2199289693,18.67971,1.8611553,2305.768105,2934.781084,20.27386488,4930.561568,-0.04000512847,0.04318859722
Sidhu Moose Wala - Im Better Now.mp3,1.4647082,0.40914884,0.3830355,0.2241325916,22.25941,2.7692907,2185.475314,2740.835502,20.2297095,4622.229332,-0.04153656498,0.04319814705
Sidhu Moose Wala - Intro.mp3,1.5881904,0.42684293,0.47670832,0.2514498125,9.0088625,1.3198265,2651.243258,2938.491507,20.45287342,5526.194984,0.001658429548,0.05700193362
Sidhu Moose Wala - Issa Jatt.mp3,1.6014003,0.48603356,0.4462831,0.2414729267,9.784573,-1.2287037,2991.984207,3240.258474,20.02499773,6172.560826,-0.01176585325,0.06416018298
Sidhu Moose Wala - Jaat Da Muqabala.mp3,1.5822114,0.45012894,0.4999803,0.2563242112,7.5948277,0.22550103,3060.19812,3209.23465,20.76698389,6536.477938,0.02247990639,0.07283516565
Sidhu Moose Wala - Kala Chashma - Skit.mp3,1.6229835,0.40238243,0.5446847,0.2707602562,4.088237,-18.195917,1778.574868,1579.728859,19.26271833,2974.994044,0.005044125344,0.05166267935
Sidhu Moose Wala - Outlaw.mp3,1.4209827,0.40162036,0.33818942,0.2104943939,19.266562,3.5364416,2184.418086,2791.181783,20.854729,4800.422636,-0.08460475884,0.03998152509
Sidhu Moose Wala - Outro.mp3,1.6391695,0.4200317,0.5489863,0.2718952603,4.0345125,-18.050272,1830.888592,1574.047823,19.28206845,2993.040769,0.00126869573,0.05462650562
Sidhu Moose Wala - Selfmade.mp3,1.5269009,0.40654406,0.42310327,0.2347784923,14.515007,1.6834134,2057.027973,2528.83836,20.96662734,4184.577841,0.05515543511,0.03893604263
Sidhu Moose Wala - So High.mp3,1.5795807,0.42848212,0.548809,0.2638275464,11.240039,-0.6894034,2401.245165,2736.69779,20.7867178,5060.750173,-0.01728444181,0.04780407661
Sidhu Moose Wala - Tochan.mp3,1.5468451,0.4041446,0.48817247,0.2513423498,10.420524,0.080794595,2862.813402,3142.996591,20.93958484,5918.751429,0.04090854855,0.05963473687
Sidhu Moose Wala - Trend.mp3,1.7052603,0.45318916,0.49441326,0.2506005361,12.886935,1.1480359,3546.475842,3455.014903,20.88442451,7546.599058,0.02809088957,0.07813193237
Wizard - Drop Low.mp3,1.5492042,0.50881803,0.54598945,0.2553679716,11.012071,4.139767,2726.603409,3252.627672,18.98521241,6030.261455,0.01077579735,0.05092848327
Zack Knight - Bom Diggy.mp3,1.5616455,0.4591109,0.5156205,0.2546140609,13.189341,3.6862423,3645.033224,3838.220968,20.48931595,8019.921875,0.01243122006,0.07853838642
